EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,Education,Department,JobTitle,JobLevel,ManagerID,Location,WorkArrangement,HireDate,TerminationDate,EmploymentStatus,TerminationType,TerminationReason,CurrentSalary,YearsAtCompany
EMP00001,Liam,Wright,Male,23,Single,Master's Degree,Engineering,Software Engineer II,Mid-Level,EMP01512,"Denver, CO",Hybrid,24-06-25,,Active,,,118000,1.09
EMP00002,Matthew,Brown,Male,22,Married,Bachelor's Degree,Legal,Paralegal,Mid-Level,EMP01296,"Austin, TX",Onsite,03-03-24,,Active,,,99000,2.4
EMP00003,Michael,White,Male,43,Married,Bachelor's Degree,Sales,Senior Sales Manager,Senior Manager,EMP01495,Remote,Remote,24-07-26,,Active,,,179000,0.01
EMP00004,Chloe,Wright,Female,28,Married,Bachelor's Degree,People,HR Coordinator,Entry-Level,EMP00861,"New York, NY",Hybrid,17-01-26,,Active,,,67000,0.53
EMP00005,Lauren,Flores,Female,25,Married,Bachelor's Degree,Engineering,Senior Software Engineer,Senior,EMP00756,"Chicago, IL",Hybrid,05-06-26,,Active,,,149000,0.15
EMP00006,William,Baker,Male,21,Married,Bachelor's Degree,Sales,Sales Development Rep,Entry-Level,EMP00320,"Austin, TX",Onsite,20-05-26,,Active,,,71000,0.19
EMP00007,Justin,Hall,Male,24,Married,Bachelor's Degree,Marketing,Marketing Specialist,Mid-Level,EMP00369,"Denver, CO",Hybrid,21-08-25,,Active,,,85000,0.93
EMP00008,Andrew,Smith,Male,26,Single,Master's Degree,Finance,Financial Analyst II,Mid-Level,EMP00335,"San Francisco, CA",Onsite,08-05-26,,Active,,,76500,0.22
EMP00009,Samuel,White,Male,36,Single,Bachelor's Degree,Product,Director of Product,Director,EMP00377,"San Francisco, CA",Hybrid,26-08-23,,Active,,,218000,2.92
EMP00010,Christopher,Jackson,Male,28,Married,Bachelor's Degree,Customer Success,Customer Success Manager,Mid-Level,EMP00528,"New York, NY",Hybrid,14-04-24,,Active,,,98000,2.29
EMP00011,Isabella,Andersson,Female,28,Married,Bachelor's Degree,Sales,Account Executive,Mid-Level,EMP01600,"Austin, TX",Hybrid,04-02-23,,Active,,,98500,3.48
EMP00012,Chloe,Kim,Female,29,Married,High School,Engineering,Software Engineer II,Mid-Level,EMP01549,"New York, NY",Onsite,11-10-24,,Active,,,93500,1.79
EMP00013,Avery,Rodriguez,Non-binary,26,Divorced,Bachelor's Degree,Customer Success,Support Associate,Entry-Level,EMP00232,"New York, NY",Onsite,20-01-25,30-06-25,Terminated,Voluntary,Work-Life Balance,52500,0.44
EMP00014,Melissa,Jackson,Female,21,Divorced,Bachelor's Degree,Customer Success,Support Associate,Entry-Level,EMP00582,Remote,Remote,15-08-24,03-09-25,Terminated,Voluntary,Work-Life Balance,61500,1.05
EMP00015,Chidi,Brown,Male,22,Single,High School,Finance,Senior Financial Analyst,Senior,EMP01135,"New York, NY",Onsite,19-03-26,,Active,,,130500,0.36
EMP00016,Hiroshi,Lopez,Male,21,Single,Bachelor's Degree,Sales,Sales Development Rep,Entry-Level,EMP01437,"San Francisco, CA",Hybrid,07-11-24,,Active,,,82500,1.72
EMP00017,David,Levi,Male,21,Single,Master's Degree,Engineering,Software Engineer I,Entry-Level,EMP01139,Remote,Remote,19-08-24,,Active,,,85500,1.94
EMP00018,Michael,Ramirez,Male,33,Married,Bachelor's Degree,Engineering,Senior Software Engineer,Senior,EMP01330,"Denver, CO",Onsite,28-06-25,,Active,,,167000,1.08
EMP00019,Melissa,Carter,Female,23,Single,Bachelor's Degree,Design,Product Designer,Mid-Level,EMP00164,"New York, NY",Hybrid,19-01-24,,Active,,,93500,2.52
EMP00020,Jason,Wang,Male,27,Single,Master's Degree,Engineering,Software Engineer I,Entry-Level,EMP00611,"New York, NY",Hybrid,11-02-26,05-04-26,Terminated,Voluntary,Work-Life Balance,82500,0.15
EMP00021,Amy,Ahmed,Female,23,Single,Associate's Degree,Customer Success,Customer Success Manager,Mid-Level,EMP00506,Remote,Remote,26-06-23,23-10-25,Terminated,Voluntary,Personal Reasons,87000,2.33
EMP00022,Mohammed,Baker,Male,24,Single,Master's Degree,Product,Senior Product Manager,Senior,EMP01169,"San Francisco, CA",Onsite,05-07-26,,Active,,,154000,0.06
EMP00023,Leilani,Lee,Female,22,Single,Bachelor's Degree,Finance,Financial Analyst II,Mid-Level,EMP00777,"New York, NY",Hybrid,05-01-26,,Active,,,92500,0.56
EMP00024,Jessica,Mitchell,Female,37,Single,Master's Degree,Finance,Financial Analyst II,Mid-Level,EMP01603,Remote,Remote,22-04-24,31-10-24,Terminated,Voluntary,Better Opportunity Elsewhere,86000,0.53
EMP00025,Zainab,Flores,Female,21,Married,Bachelor's Degree,Sales,Sales Development Rep,Entry-Level,EMP01165,"Austin, TX",Onsite,08-09-22,04-11-23,Terminated,Voluntary,Personal Reasons,73000,1.16
EMP00026,Emily,Adams,Female,33,Single,Bachelor's Degree,Finance,Senior Financial Analyst,Senior,EMP00930,Remote,Remote,10-03-26,,Active,,,121500,0.38
EMP00027,Alexander,Andersson,Male,21,Single,Master's Degree,Customer Success,Customer Success Manager,Mid-Level,EMP01714,"New York, NY",Hybrid,06-11-25,03-01-26,Terminated,Voluntary,Relocation,79000,0.16
EMP00028,Ava,Silva,Female,36,Married,Bachelor's Degree,Sales,Senior Account Executive,Senior,EMP01649,"Denver, CO",Hybrid,15-12-25,,Active,,,102000,0.62
