EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,Education,Department,JobTitle,JobLevel,ManagerID,Location,WorkArrangement,HireDate,TerminationDate,EmploymentStatus,TerminationType,TerminationReason,CurrentSalary,YearsAtCompany
EMP00001,Liam,Wright,Male,23.0,Single,Master's Degree,Engineering,Software Engineer II,Mid-Level,EMP01512,"Denver, CO",Hybrid,2025-06-24,,Active,,,118000,1.09
EMP00002,Matthew,Brown,Male,22.0,Married,Bachelor's Degree,Legal,Paralegal,Mid-Level,EMP01296,"Austin, TX",Onsite,2024-03-03,,Active,,,99000,2.4
EMP00003,Michael,White,Male,43.0,Married,Bachelor's Degree,Sales,Senior Sales Manager,Senior Manager,EMP01495,Remote,Remote,2026-07-24,,Active,,,179000,0.01
EMP00004,Chloe,Wright,Female,28.0,Married,Bachelor's Degree,PEOPLE,HR Coordinator,Entry-Level,EMP00861,"New York, NY",Hybrid,2026-01-17,,Active,,,67000,0.53
EMP00005,Lauren,Flores,Female,25.0,Married,Bachelor's Degree,Engineering,Senior Software Engineer,Senior,EMP00756,"Chicago, IL",Hybrid,2026-06-05,,Active,,,149000,0.15
EMP00006,William,Baker,Male,21.0,Married,Bachelor's Degree,Sales,Sales Development Rep,Entry-Level,EMP00320,"Austin, TX",Onsite,2026-05-20,,Active,,,71000,0.19
EMP00007,Justin,Hall,Male,24.0,Married,Bachelor's Degree,Marketing,Marketing Specialist,Mid-Level,EMP00369,"Denver, CO",Hybrid,2025-08-21,,Active,,,85000,0.93
EMP00008,Andrew,Smith,Male,26.0,Single,Master's Degree,Finance,Financial Analyst II,Mid-Level,EMP00335,"San Francisco, CA",Onsite,2026-05-08,,Active,,,76500,0.22
EMP00009,Samuel,White,Male,36.0,Single,Bachelor's Degree,Product,Director of Product,Director,EMP00377,"San Francisco, CA",Hybrid,2023-08-26,,Active,,,218000,2.92
EMP00010,Christopher,Jackson,Male,28.0,Married,Bachelor's Degree,Customer Success,Customer Success Manager,Mid-Level,EMP00528,"New York, NY",Hybrid,2024-04-14,,Active,,,98000,2.29
EMP00011,Isabella,Andersson,Female,28.0,Married,Bachelor's Degree,Sales,Account Executive,Mid-Level,EMP01600,"Austin, TX",Hybrid,2023-02-04,,Active,,,98500,3.48
EMP00012,Chloe,Kim,Female,29.0,Married,High School,Engineering,Software Engineer II,Mid-Level,EMP01549,"New York, NY",Onsite,2024-10-11,,Active,,,93500,1.79
EMP00013,Avery,Rodriguez,NB,26.0,Divorced,Bachelor's Degree,Customer Success,Support Associate,Entry-Level,EMP00232,"New York, NY",Onsite,2025-01-20,2025-06-30,Terminated,Voluntary,Work-Life Balance,52500,0.44
EMP00014,Melissa,Jackson,Female,21.0,Divorced,Bachelor's Degree,Customer Success,Support Associate,Entry-Level,EMP00582,Remote,Remote,2024-08-15,2025-09-03,Terminated,Voluntary,Work-Life Balance,61500,1.05
EMP00015,Chidi,Brown,Male,22.0,Single,High School,Finance,Senior Financial Analyst,Senior,EMP01135,"New York, NY",Onsite,2026-03-19,,Active,,,130500,0.36
EMP00016,Hiroshi,Lopez,Male,21.0,Single,Bachelor's Degree,Sales,Sales Development Rep,Entry-Level,EMP01437,"San Francisco, CA",Hybrid,2024-11-07,,Active,,,82500,1.72
EMP00017,David,Levi,Male,21.0,Single,Master's Degree,Engineering,Software Engineer I,Entry-Level,EMP01139,Remote,Remote,2024-08-19,,Active,,,85500,1.94
EMP00018,Michael,Ramirez,Male,33.0,Married,Bachelor's Degree,Engineering,Senior Software Engineer,Senior,EMP01330,"Denver, CO",Onsite,2025-06-28,,Active,,,167000,1.08
EMP00019,Melissa,Carter,Female,23.0,Single,Bachelor's Degree,Design,Product Designer,Mid-Level,EMP00164,"New York, NY",Hybrid,2024-01-19,,Active,,,93500,2.52
EMP00020,Jason,Wang,Male,27.0,Single,Master's Degree,Engineering,Software Engineer I,Entry-Level,EMP00611,"New York, NY",Hybrid,2026-02-11,2026-04-05,Terminated,Voluntary,Work-Life Balance,82500,0.15
EMP00021,Amy,Ahmed,Female,23.0,Single,Associate's Degree,Customer Success,Customer Success Manager,Mid-Level,EMP00506,Remote,Remote,2023-06-26,2025-10-23,Terminated,Voluntary,Personal Reasons,87000,2.33
EMP00022,Mohammed,Baker,Male,24.0,Single,Master's Degree,Product,Senior Product Manager,Senior,EMP01169,"San Francisco, CA",Onsite,2026-07-05,,Active,,,154000,0.06
EMP00023,Leilani,Lee,Female,22.0,Single,Bachelor's Degree,Finance,Financial Analyst II,Mid-Level,EMP00777,"New York, NY",Hybrid,2026-01-05,,Active,,,92500,0.56
EMP00024,Jessica,Mitchell,Female,37.0,Single,Master's Degree,Finance,Financial Analyst II,Mid-Level,EMP01603,Remote,Remote,2024-04-22,2024-10-31,Terminated,Voluntary,Better Opportunity Elsewhere,86000,0.53
EMP00025,Zainab,Flores,Female,21.0,Married,Bachelor's Degree,Sales,Sales Development Rep,Entry-Level,EMP01165,"Austin, TX",Onsite,2022-09-08,2023-11-04,Terminated,Voluntary,Personal Reasons,73000,1.16
EMP00026,Emily,Adams,Female,33.0,Single,Bachelor's Degree,Finance,Senior Financial Analyst,Senior,EMP00930,Remote,Remote,2026-03-10,,Active,,,121500,0.38
EMP00027,Alexander,Andersson,Male,21.0,Single,Master's Degree,Customer Success,Customer Success Manager,Mid-Level,EMP01714,"New York, NY",Hybrid,2025-11-06,2026-01-03,Terminated,Voluntary,Relocation,79000,0.16
EMP00028,Ava,Silva,Female,36.0,Married,Bachelor's Degree,Sales,Senior Account Executive,Senior,EMP01649,"Denver, CO",Hybrid,2025-12-15,,Active,,,102000,0.62
EMP00029,Mia,Hernandez,Female,37.0,Married,Associate's Degree,Engineering,Engineering Manager,Manager,EMP00077,Remote,Remote,2026-01-16,2026-06-15,Terminated,Voluntary,Personal Reasons,142500,0.41
EMP00030,Ngozi,Miller,Female,31.0,Single,Master's Degree,Sales,Senior Account Executive,Senior,EMP01193,"San Francisco, CA",Hybrid,2023-06-28,2024-10-10,Terminated,Voluntary,Personal Reasons,107500,1.29
EMP00031,Yuki,Martin,Female,29.0,Single,Master's Degree,Sales,Account Executive,Mid-Level,EMP01716,Remote,Remote,2024-11-17,,Active,,,105500,1.69
EMP00032,Amy,Lee,Female,29.0,Married,Master's Degree,MARKETING,Marketing Specialist,Mid-Level,EMP01396,Remote,Remote,2023-11-08,2024-03-19,Terminated,Voluntary,Personal Reasons,76500,0.36
EMP00033,Anjali,Souza,Female,30.0,Single,Bachelor's Degree,Sales,Account Executive,Mid-Level,EMP00413,"New York, NY",Onsite,2026-04-08,2026-05-05,Terminated,Voluntary,Career Growth,85000,0.07
EMP00034,Aaliyah,Miller,Female,21.0,Single,Bachelor's Degree,People,HR Coordinator,Entry-Level,EMP01276,Remote,Remote,2025-09-25,,Active,,,53000,0.84
EMP00035,Lauren,Hernandez,Female,21.0,Single,Master's Degree,Customer Success,Support Associate,Entry-Level,EMP00526,"Austin, TX",Onsite,2024-10-09,,Active,,,63000,1.8
EMP00036,James,Wright,Male,33.0,Single,Master's Degree,Engineering,Staff Engineer,Staff,EMP01063,Remote,Remote,2023-04-02,2024-12-30,Terminated,Voluntary,Work-Life Balance,214500,1.75
EMP00037,Nathan,Sharma,Male,44.0,Married,Master's Degree,Executive,Business Operations Director,Director,EMP01286,"San Francisco, CA",Onsite,2024-09-15,,Active,,,309000,1.86
EMP00038,Ryan,Singh,Male,27.0,Divorced,Master's Degree,Sales,Account Executive,Mid-Level,EMP00507,"San Francisco, CA",Onsite,2024-10-18,,Active,,,93000,1.77
EMP00039,Mason,Diallo,Male,33.0,Married,Associate's Degree,Design,Senior Product Designer,Senior,EMP01747,"San Francisco, CA",Onsite,2025-12-03,,Active,,,129500,0.65
EMP00040,Hiroshi,Santos,Male,32.0,Married,Master's Degree,Customer Success,Senior CSM,Senior,EMP00115,"San Francisco, CA",Onsite,2025-09-17,2026-01-30,Terminated,Involuntary,Performance,141000,0.37
EMP00041,Luis,Sharma,Male,23.0,Single,Bachelor's Degree,Engineering,Software Engineer I,Entry-Level,EMP00267,"San Francisco, CA",Hybrid,2026-05-04,,Active,,,85500,0.23
EMP00042,Charles,Wang,Male,27.0,Married,Bachelor's Degree,Sales,Sales Manager,Manager,EMP00003,Remote,Remote,2025-04-04,,Active,,,142000,1.31
EMP00043,Joseph,Wright,Male,22.0,Single,Master's Degree,Sales,Sales Development Rep,Entry-Level,EMP00409,Remote,Remote,2023-12-14,2023-12-14,Terminated,Voluntary,Work-Life Balance,62500,0.0
EMP00044,Jason,Ramirez,Male,37.0,Single,Bachelor's Degree,Design,Senior Product Designer,Senior,EMP00850,"Austin, TX",Onsite,2025-12-09,,Active,,,122000,0.63
EMP00045,Victoria,Osei,Female,34.0,Married,Bachelor's Degree,Finance,Finance Business Partner,Staff,EMP00060,"Austin, TX",Hybrid,2026-01-09,,Active,,,175500,0.55
EMP00046,Ana,Anderson,Female,27.0,Divorced,Bachelor's Degree,Sales,Senior Account Executive,Senior,EMP01597,Remote,Remote,2025-07-25,2026-03-31,Terminated,Voluntary,Return to School,153000,0.68
EMP00047,Nicole,Hall,Female,31.0,Single,Master's Degree,Engineering,Senior Software Engineer,Senior,EMP01667,"New York, NY",Onsite,2026-01-26,,Active,,,121000,0.5
EMP00048,Jordan,Kumar,Non-binary,,Married,Master's Degree,Sales,Sales Development Rep,Entry-Level,EMP00011,"Austin, TX",Hybrid,2025-05-23,2025-05-24,Terminated,Voluntary,Relocation,70500,0.0
EMP00049,Lucia,Anderson,Female,,Single,Master's Degree,Finance,Financial Analyst II,Mid-Level,EMP00777,"New York, NY",Hybrid,2025-06-18,,Active,,,103500,1.11
EMP00050,Christopher,Torres,Male,35.0,Single,Bachelor's Degree,Engineering,Senior Software Engineer,Senior,EMP00714,"New York, NY",Onsite,2025-02-10,2026-04-13,Terminated,Involuntary,Role Elimination / Restructuring,128000,1.17
EMP00051,Sofia,Bernard,F,29.0,Single,Master's Degree,Engineering,Software Engineer II,Mid-Level,EMP01512,"San Francisco, CA",Hybrid,2022-12-21,2026-06-30,Terminated,Voluntary,Relocation,116500,3.52
EMP00052,Sofia,Diallo,F,30.0,Married,Bachelor's Degree,Engineering,Engineering Manager,Manager,EMP00279,"Chicago, IL",Hybrid,2023-10-04,,Active,,,200000,2.81
EMP00053,Femi,Levi,Male,31.0,Married,Bachelor's Degree,Engineering,Software Engineer II,Mid-Level,EMP00545,"Chicago, IL",Onsite,2022-12-12,2023-07-30,Terminated,Voluntary,Work-Life Balance,90500,0.63
EMP00054,Thomas,Flores,Male,25.0,Married,Bachelor's Degree,Marketing,Marketing Specialist,Mid-Level,EMP01644,"Austin, TX",Hybrid,2025-09-27,,Active,,,84000,0.83
EMP00055,Ashley,Garcia,Female,26.0,Single,Bachelor's Degree,Customer Success,Customer Success Manager,Mid-Level,EMP00411,Remote,Remote,2024-10-08,2026-04-28,Terminated,Voluntary,Compensation,99000,1.55
EMP00056,Benjamin,Lewis,Male,22.0,Single,Bachelor's Degree,Product,Product Manager,Mid-Level,EMP00870,"Denver, CO",Hybrid,2025-05-02,2026-04-18,Terminated,Voluntary,Relocation,97500,0.96
EMP00057,Divya,Patel,Female,32.0,Married,Master's Degree,Customer Success, Senior CSM ,Senior,EMP00115,"San Francisco, CA",Hybrid,2026-05-22,,Active,,,118000,0.18
EMP00058,Omar,Silva,Male,29.0,Single,Bachelor's Degree,Design,Senior Product Designer,Senior,EMP00268,"San Francisco, CA",Hybrid,2024-07-13,2024-07-17,Terminated,Voluntary,Career Growth,143000,0.01
EMP00059,Elizabeth,Davis,Female,33.0,Single,Associate's Degree,Finance,Senior Financial Analyst,Senior,EMP00516,"Austin, TX",Hybrid,2025-02-21,,Active,,,131500,1.43
EMP00060,Diego,Smith,Male,33.0,Divorced,Bachelor's Degree,Finance,Finance Manager,Manager,EMP01710,"New York, NY",Hybrid,2026-01-16,,Active,,,159500,0.53
EMP00061,Daniel,Clark,Male,32.0,Married,Bachelor's Degree,Design, Design Manager ,Manager,EMP00127,"Austin, TX",Hybrid,2024-06-28,2025-12-03,Terminated,Involuntary,Policy Violation,158500,1.43
EMP00062,Kwame,Hill,Male,32.0,Single,Bachelor's Degree,Marketing,Marketing Manager,Manager,EMP00072,"New York, NY",Hybrid,2023-06-02,2024-11-25,Terminated,Voluntary,Work-Life Balance,143000,1.48
EMP00063,Megan,Ramirez,Female,26.0,Single,High School,Customer Success,Support Associate,Entry-Level,EMP01250,"Austin, TX",Onsite,2024-09-11,2025-05-15,Terminated,Voluntary,Career Growth,65000,0.67
EMP00064,Emma,Moore,Female,27.0,Single,Bachelor's Degree,Engineering,Senior Software Engineer,Senior,EMP01365,"Chicago, IL",Hybrid,2024-02-10,2024-02-23,Terminated,Voluntary,Career Growth,169000,0.04
EMP00065,Olivia,Allen,Female,23.0,Married,Bachelor's Degree,Engineering,Software Engineer I,Entry-Level,EMP00206,Remote,Remote,2026-06-15,,Active,,,73500,0.12
EMP00066,Jose,Nguyen,Male,22.0,Married,Bachelor's Degree,Sales,Sales Development Rep,Entry-Level,EMP00623,"Denver, CO",Hybrid,2026-03-17,,Active,,,75000,0.36
EMP00067,Chioma,Adams,Female,32.0,Married,Bachelor's Degree,Customer Success,Senior CSM,Senior,EMP01501,"Chicago, IL",Onsite,2025-09-08,,Active,,,113500,0.88
EMP00068,Brian,Thomas,Male,21.0,Single,Master's Degree,Finance,Financial Analyst II,Mid-Level,EMP01487,Remote,Remote,2026-04-18,,Active,,,83000,0.28
EMP00069,Alexander,Smith,Male,25.0,Single,Bachelor's Degree,Customer Success,Support Associate,Entry-Level,EMP00927,"Chicago, IL",Hybrid,2026-02-23,,Active,,,54000,0.42
EMP00070,Robert,Kone,Male,32.0,Divorced,Bachelor's Degree,Marketing,Marketing Coordinator,Entry-Level,EMP01582,"San Francisco, CA",Hybrid,2024-04-09,,Active,,,73000,2.3
EMP00071,Ashley,Kumar,F,30.0,Divorced,Master's Degree,sales,Sales Development Rep,Entry-Level,EMP00204,"New York, NY",Hybrid,2026-05-25,,Active,,,69500,0.18
EMP00072,Ethan,Thompson,Male,35.0,Married,Bachelor's Degree,Marketing,Senior Marketing Manager,Senior Manager,EMP00849,Remote,Remote,2025-06-08,2025-06-16,Terminated,Voluntary,Return to School,198000,0.02
EMP00073,Justin,Taylor,Male,26.0,Single,Master's Degree,Customer Success,Support Associate,Entry-Level,EMP00752,"Austin, TX",Hybrid,2026-02-27,,Active,,,58500,0.41
EMP00074,Natalie,Carter,Female,25.0,Married,PhD,Product,Associate Product Manager,Entry-Level,EMP01260,"San Francisco, CA",Onsite,2026-05-14,,Active,,,67500,0.21
EMP00075,Megan,Rossi,Female,33.0,Divorced,Bachelor's Degree,Sales,Account Executive,Mid-Level,EMP00381,"Denver, CO",Hybrid,2024-10-28,2024-11-09,Terminated,Voluntary,Return to School,95000,0.03
EMP00076,Daniel,Robinson,Male,21.0,Married,PhD,Marketing,Marketing Specialist,Mid-Level,EMP00629,"Chicago, IL",Hybrid,2023-11-26,2025-08-08,Terminated,Involuntary,Role Elimination / Restructuring,95500,1.7
EMP00077,Justin,Abara,Male,43.0,Married,Master's Degree,Engineering,Senior Engineering Manager,Senior Manager,EMP01428,Remote,Remote,2024-06-25,,Active,,,222000,2.09
EMP00078,Christopher,Schmidt,Male,23.0,Single,PhD,Marketing,Marketing Coordinator,Entry-Level,EMP01248,"San Francisco, CA",Onsite,2025-02-18,2025-11-17,Terminated,Voluntary,Return to School,62000,0.74
EMP00079,Diego,Rivera,Male,23.0,Single,Master's Degree,Engineering,Software Engineer II,Mid-Level,EMP01185,"Austin, TX",Hybrid,2026-03-22,,Active,,,91500,0.35
EMP00080,Lauren,Martinez,Female,26.0,Single,Bachelor's Degree,Sales,Senior Account Executive,Senior,EMP01182,Remote,Remote,2026-04-20,,Active,,,146000,0.27
EMP00081,Raj,Patel,Male,35.0,Divorced,Master's Degree,Marketing,Director of Marketing,Director,EMP00148,"Austin, TX",Hybrid,2022-09-20,2024-02-03,Terminated,Involuntary,Budget Reduction,198500,1.37
EMP00082,Emma,Garcia,Female,27.0,Married,Bachelor's Degree,Engineering,Senior Software Engineer,Senior,EMP01330,"Austin, TX",Hybrid,2025-05-21,2025-07-02,Terminated,Involuntary,Policy Violation,134500,0.11
EMP00083,Carmen,Kumar,Female,30.0,Married,Bachelor's Degree,Engineering,Engineering Manager,Manager,EMP00440,"New York, NY",Onsite,2025-02-12,2026-03-06,Terminated,Voluntary,Personal Reasons,152500,1.06
EMP00084,Ryan,Williams,Male,25.0,Single,Bachelor's Degree,Design,Junior Product Designer,Entry-Level,EMP00498,Remote,Remote,2024-05-19,2026-03-19,Terminated,Voluntary,Work-Life Balance,81500,1.83
EMP00085,Carmen,Ahmed,Female,29.0,Divorced,Bachelor's Degree,People,HR Generalist,Mid-Level,EMP00525,Remote,Remote,2023-12-14,,Active,,,85000,2.62
EMP00086,Miguel,Martinez,Male,26.0,Married,Bachelor's Degree,Engineering,Software Engineer II,Mid-Level,EMP00512,Remote,Remote,2024-11-17,,Active,,,103500,1.69
EMP00087,Jason,Green,M,42.0,Single,Master's Degree,People,People Team Lead,Manager,EMP00174,"Austin, TX",Hybrid,2026-06-24,,Active,,,155500,0.09
EMP00088,Ethan,Nilsson,Male,22.0,Divorced,PhD,Engineering,Software Engineer I,Entry-Level,EMP00436,"San Francisco, CA",Hybrid,2024-10-21,,Active,,,75500,1.77
EMP00089,Charles,Singh,Male,39.0,Single,Bachelor's Degree,executive,Business Operations Director,Director,EMP00921,"San Francisco, CA",Onsite,2025-06-03,2026-06-24,Terminated,Voluntary,Better Opportunity Elsewhere,342500,1.06
EMP00090,Mason,Nilsson,Male,25.0,Single,Associate's Degree,Finance,Financial Analyst II,Mid-Level,EMP01603,Remote,Remote,2025-11-26,,Active,,,97000,0.67
EMP00091,Lucas,Kim,Male,27.0,Single,PhD,Sales,Sales Development Rep,Entry-Level,EMP00011,"New York, NY",Hybrid,2024-12-30,,Active,,,84000,1.57
EMP00092,Ava,Wang,Female,27.0,Divorced,High School,Sales,Sales Development Rep,Entry-Level,EMP01165,"Austin, TX",Onsite,2026-07-23,,Active,,,82500,0.01
